 => 1, a, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 2, b, south
robot_B => 2, b, south
robot_A => 2, d, east
robot_B => 2, b, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 3, b, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 3, b, east
robot_A => 2, d, east
robot_B => 3, b, south
robot_A => 2, d, east
robot_B => 3, b, west
robot_A => 2, d, east
robot_B => 2, b, west
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 2, b, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 2, c, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 2, d, north
robot_A => 2, d, east
robot_B => 2, d, west
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, east
